sampleA,sampleB,snp_distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hcw#1,CARE0063#11,1,-3.728892493,-2.666282765,-2.212982857,-2.063226695,-2.083903373,-2.201394298,-2.37357773,-2.577457221,-2.801156601,-3.038604264,-3.286488508,-3.54277328,-3.806051165,-4.075269187,-4.349603416,-4.628392206,-4.911094932,-5.197263873,-5.486524007,-5.778558069,-6.07309526
hcw#1,CARE0097#2,1,-3.728892493,-2.666282765,-2.212982857,-2.063226695,-2.083903373,-2.201394298,-2.37357773,-2.577457221,-2.801156601,-3.038604264,-3.286488508,-3.54277328,-3.806051165,-4.075269187,-4.349603416,-4.628392206,-4.911094932,-5.197263873,-5.486524007,-5.778558069,-6.07309526
hcw#1,CARE0118#3,5,-7.460312167,-5.981738405,-5.061604749,-4.420735789,-3.952186339,-3.602126635,-3.3392629,-3.143582073,-3.001399334,-2.902893525,-2.840755703,-2.809389598,-2.804410258,-2.822315213,-2.860260919,-2.915906203,-2.987299843,-3.072798089,-3.171002987,-3.280715492,-3.400899296
hcw#1,hcw#44,3,-5.307317224,-4.058948773,-3.386478271,-2.993143572,-2.759861896,-2.627269151,-2.563286458,-2.549419693,-2.574160386,-2.629774462,-2.71073079,-2.812894728,-2.933078277,-3.068766223,-3.217937557,-3.378943354,-3.550420453,-3.731228879,-3.920405555,-4.117129437,-4.32069485
hcw#1,hcw#45,2,-4.42106333,-3.274616241,-2.719394971,-2.452389577,-2.34673695,-2.336598826,-2.386327637,-2.476495624,-2.596160251,-2.73868398,-2.899658572,-3.07592508,-3.265100395,-3.465326651,-3.675122569,-3.893286775,-4.118831094,-4.350932814,-4.588899654,-4.832143551,-5.080160727
hcw#1,hcw#46,2,-4.42106333,-3.274616241,-2.719394971,-2.452389577,-2.34673695,-2.336598826,-2.386327637,-2.476495624,-2.596160251,-2.73868398,-2.899658572,-3.07592508,-3.265100395,-3.465326651,-3.675122569,-3.893286775,-4.118831094,-4.350932814,-4.588899654,-4.832143551,-5.080160727
hcw#1,hcw#47,3,-5.307317224,-4.058948773,-3.386478271,-2.993143572,-2.759861896,-2.627269151,-2.563286458,-2.549419693,-2.574160386,-2.629774462,-2.71073079,-2.812894728,-2.933078277,-3.068766223,-3.217937557,-3.378943354,-3.550420453,-3.731228879,-3.920405555,-4.117129437,-4.32069485
hcw#1,hcw#48,1,-3.728892493,-2.666282765,-2.212982857,-2.063226695,-2.083903373,-2.201394298,-2.37357773,-2.577457221,-2.801156601,-3.038604264,-3.286488508,-3.54277328,-3.806051165,-4.075269187,-4.349603416,-4.628392206,-4.911094932,-5.197263873,-5.486524007,-5.778558069,-6.07309526
hcw#1,hcw#49,0,-3.234500102,-2.238260922,-1.868798374,-1.820963574,-1.958889484,-2.202709714,-2.502522196,-2.828856308,-3.166267191,-3.507749607,-3.850557785,-4.19375221,-4.537048358,-4.880368951,-5.223694945,-5.567022045,-5.910349356,-6.253676705,-6.597004059,-6.940331415,-7.283658771
hcw#1,hcw#50,2,-4.42106333,-3.274616241,-2.719394971,-2.452389577,-2.34673695,-2.336598826,-2.386327637,-2.476495624,-2.596160251,-2.73868398,-2.899658572,-3.07592508,-3.265100395,-3.465326651,-3.675122569,-3.893286775,-4.118831094,-4.350932814,-4.588899654,-4.832143551,-5.080160727
hcw#1,hcw#51,5,-7.483720719,-5.991773732,-5.065344875,-4.421926506,-3.952478705,-3.602139703,-3.339198324,-3.143497972,-3.001310748,-2.902803991,-2.840665983,-2.809299844,-2.804320498,-2.822225452,-2.860171159,-2.915816442,-2.987210082,-3.072708329,-3.170913226,-3.280625731,-3.400809535
hcw#1,hcw#52,1,-3.901584499,-2.776327699,-2.271221112,-2.082138804,-2.076083793,-2.177635367,-2.341578007,-2.541767134,-2.764024611,-3.000975006,-3.248705996,-3.504948078,-3.76821511,-4.037430594,-4.311764273,-4.590552951,-4.873255657,-5.159424594,-5.448684728,-5.740718789,-6.035255981
hcw#1,hcw#54,5,-7.51360417,-6.005717832,-5.071048183,-4.42393945,-3.953049747,-3.602213476,-3.339118843,-3.143375801,-3.001177725,-2.902668429,-2.840529871,-2.809163621,-2.804184254,-2.822089205,-2.86003491,-2.915680193,-2.987073833,-3.07257208,-3.170776978,-3.280489482,-3.400673287
hcw#1,hcw#55,1,-3.901584499,-2.776327699,-2.271221112,-2.082138804,-2.076083793,-2.177635367,-2.341578007,-2.541767134,-2.764024611,-3.000975006,-3.248705996,-3.504948078,-3.76821511,-4.037430594,-4.311764273,-4.590552951,-4.873255657,-5.159424594,-5.448684728,-5.740718789,-6.035255981
hcw#1,hcw#56,4,-6.402006299,-5.009656927,-4.194917769,-3.665713229,-3.306286568,-3.058540416,-2.890025703,-2.781081749,-2.718870099,-2.694455059,-2.701306279,-2.734477901,-2.790123028,-2.865186369,-2.957199291,-3.064137868,-3.184321673,-3.316339935,-3.458996595,-3.611268714,-3.772274513
hcw#1,hcw#57,2,-4.555377508,-3.357123741,-2.762576324,-2.468839241,-2.347247264,-2.328868347,-2.374906794,-2.463632879,-2.582800238,-2.725170712,-2.886102614,-3.062358269,-3.251531046,-3.451756752,-3.661552559,-3.879716744,-4.105261059,-4.337362779,-4.575329619,-4.818573516,-5.066590692
hcw#1,hcw#58,2,-4.555377508,-3.357123741,-2.762576324,-2.468839241,-2.347247264,-2.328868347,-2.374906794,-2.463632879,-2.582800238,-2.725170712,-2.886102614,-3.062358269,-3.251531046,-3.451756752,-3.661552559,-3.879716744,-4.105261059,-4.337362779,-4.575329619,-4.818573516,-5.066590692
hcw#1,hcw#59,4,-6.402006299,-5.009656927,-4.194917769,-3.665713229,-3.306286568,-3.058540416,-2.890025703,-2.781081749,-2.718870099,-2.694455059,-2.701306279,-2.734477901,-2.790123028,-2.865186369,-2.957199291,-3.064137868,-3.184321673,-3.316339935,-3.458996595,-3.611268714,-3.772274513
hcw#1,hcw#60,2,-4.555377508,-3.357123741,-2.762576324,-2.468839241,-2.347247264,-2.328868347,-2.374906794,-2.463632879,-2.582800238,-2.725170712,-2.886102614,-3.062358269,-3.251531046,-3.451756752,-3.661552559,-3.879716744,-4.105261059,-4.337362779,-4.575329619,-4.818573516,-5.066590692
